Volume,Open,Close,High,Low
1156,1.0744,1.07456,1.07463,1.0739
634,1.07454,1.0744,1.07498,1.07426
459,1.07438,1.07372,1.0746,1.0737
755,1.0737,1.07482,1.07482,1.07352
1183,1.07485,1.07421,1.0755,1.074
2084,1.07418,1.07424,1.0754,1.074
2029,1.07426,1.07278,1.07494,1.0726
1215,1.07282,1.0726,1.0733,1.07231
1289,1.07258,1.07377,1.0745,1.07258
1385,1.0738,1.07296,1.0739,1.07264
1322,1.07295,1.07345,1.07438,1.07275
2428,1.07342,1.07302,1.07378,1.07096
4793,1.073,1.07256,1.07334,1.07064
3688,1.07258,1.07478,1.07521,1.07258
3143,1.07476,1.07399,1.07484,1.07268
1791,1.07396,1.0727,1.07422,1.072
1078,1.07273,1.0736,1.0737,1.07252
921,1.07362,1.07461,1.075,1.07362
542,1.07459,1.07434,1.07518,1.07414
887,1.07437,1.0764,1.07695,1.07428
531,1.07672,1.07724,1.07724,1.07618
413,1.0772,1.0759,1.0772,1.07583
851,1.07588,1.07601,1.0762,1.07542
1245,1.076,1.07544,1.07601,1.07452
771,1.07546,1.07588,1.07669,1.07542
875,1.07584,1.076,1.0771,1.07559
755,1.07601,1.07514,1.07627,1.07494
673,1.07516,1.07553,1.07599,1.07484
934,1.0755,1.07411,1.07568,1.07378
1574,1.0741,1.07381,1.07499,1.07338
1599,1.07378,1.07478,1.07529,1.07374
1989,1.07475,1.07404,1.07519,1.07351
977,1.07406,1.07298,1.07441,1.07286
1147,1.07296,1.07433,1.07442,1.07255
1168,1.0743,1.07419,1.07476,1.07394
1396,1.07422,1.07476,1.07571,1.07406
2200,1.07474,1.07616,1.07666,1.07434
2732,1.0761,1.07524,1.07751,1.07489
1860,1.07527,1.07484,1.07582,1.07466
1027,1.07487,1.07565,1.0761,1.07482
1260,1.07568,1.0735,1.07581,1.07338
1007,1.07348,1.07224,1.07348,1.0722
721,1.07226,1.07332,1.07336,1.07204
178,1.07334,1.07314,1.07336,1.07299
296,1.07306,1.07316,1.07342,1.07279
339,1.07316,1.07284,1.0733,1.0724
785,1.07286,1.07312,1.0734,1.07237
981,1.0731,1.07294,1.07351,1.07222
949,1.0729,1.0731,1.0738,1.0727
520,1.07308,1.07315,1.07328,1.07274
568,1.07317,1.07308,1.07373,1.07306
471,1.07306,1.07263,1.07306,1.07238
482,1.0726,1.07216,1.07264,1.07214
1394,1.07214,1.07134,1.07268,1.07112
1920,1.07136,1.07298,1.07326,1.07131
2369,1.073,1.07498,1.07548,1.07246
1050,1.07496,1.07535,1.07546,1.07419
667,1.07532,1.07525,1.07564,1.0748
2253,1.07523,1.07456,1.07698,1.07452
1645,1.07459,1.07448,1.07484,1.07358
2680,1.07446,1.0727,1.07454,1.07202
2230,1.07266,1.0741,1.07452,1.07256
1949,1.07414,1.07428,1.07534,1.0732
1129,1.0743,1.07378,1.0745,1.07252
1429,1.0738,1.07262,1.074,1.0725
830,1.0726,1.07411,1.07416,1.07202
1208,1.07408,1.07521,1.07528,1.07364
480,1.07524,1.07483,1.07544,1.07469
370,1.07497,1.07504,1.07551,1.0746
382,1.075,1.07526,1.0754,1.07468
870,1.07528,1.07628,1.07648,1.0752
792,1.07631,1.07588,1.07656,1.07575
663,1.0759,1.07572,1.0761,1.07543
441,1.07576,1.0757,1.07624,1.07544
375,1.07568,1.07574,1.07596,1.07536
373,1.07576,1.07558,1.07606,1.07532
718,1.07556,1.07422,1.07569,1.07399
1781,1.0742,1.07308,1.07472,1.07294
1645,1.07305,1.07395,1.07438,1.07266
1756,1.07397,1.07212,1.07436,1.07161
1268,1.07214,1.07209,1.07271,1.07128
1025,1.07206,1.07314,1.07334,1.07196
1725,1.07312,1.07106,1.07327,1.07078
3297,1.07108,1.06972,1.07124,1.06889
2895,1.06969,1.06858,1.07048,1.06728
3200,1.0686,1.06714,1.06927,1.067
1784,1.06712,1.06694,1.06736,1.06579
915,1.0669,1.06868,1.06885,1.06674
1447,1.06866,1.06961,1.07008,1.06852
823,1.06958,1.06984,1.07041,1.06916
1390,1.06982,1.06758,1.06982,1.06746
919,1.06756,1.06824,1.06824,1.06627
696,1.06797,1.068,1.06865,1.06733
518,1.06804,1.06836,1.06838,1.06746
693,1.06832,1.06828,1.06869,1.06798
1229,1.0683,1.06824,1.06866,1.06725
711,1.06827,1.06806,1.06886,1.06787
609,1.06809,1.06753,1.06818,1.0673
462,1.06751,1.06744,1.06771,1.06721
540,1.06741,1.06716,1.06748,1.06682
886,1.06719,1.06646,1.06732,1.0661
1504,1.06648,1.0674,1.06756,1.06584
1667,1.06736,1.06812,1.06846,1.06718
1405,1.0681,1.0693,1.06983,1.06806
1224,1.06928,1.06824,1.0695,1.06756
785,1.06828,1.06938,1.06972,1.06809
875,1.06936,1.06748,1.06952,1.06706
4038,1.06752,1.06983,1.07088,1.06736
4114,1.06986,1.07027,1.07251,1.06978
2494,1.07024,1.07061,1.0715,1.07
1703,1.07064,1.06898,1.07088,1.06896
884,1.06896,1.06827,1.06927,1.06796
790,1.0683,1.06898,1.0693,1.06788
454,1.069,1.0699,1.06997,1.06892
526,1.06988,1.0696,1.06992,1.06916
383,1.06957,1.06981,1.06994,1.06935
528,1.07232,1.07137,1.07232,1.07118
818,1.07136,1.07174,1.07184,1.0708
967,1.07171,1.0723,1.0727,1.0716
1125,1.07232,1.07368,1.07404,1.07232
411,1.07366,1.07333,1.07368,1.07306
405,1.0733,1.0732,1.07384,1.07306
372,1.07322,1.07294,1.07352,1.0729
376,1.07297,1.07244,1.07319,1.07234
482,1.07242,1.07208,1.07254,1.07194
1122,1.07205,1.07001,1.07208,1.06985
1814,1.07004,1.06964,1.0702,1.0693
1155,1.06966,1.06956,1.06974,1.06872
826,1.06954,1.06929,1.06997,1.06902
1462,1.06926,1.06614,1.0694,1.06558
2673,1.06611,1.06294,1.06653,1.06263
2807,1.06296,1.06447,1.06448,1.06204
1899,1.06444,1.06594,1.06594,1.06402
2773,1.06592,1.06878,1.06926,1.06533
2159,1.06882,1.068,1.0699,1.06796
1563,1.06803,1.06932,1.07095,1.0678
963,1.06934,1.0692,1.0698,1.06852
663,1.06922,1.06944,1.06951,1.06862
807,1.06947,1.06945,1.07,1.06904
305,1.06948,1.06956,1.06995,1.06936
618,1.06964,1.0701,1.07028,1.06924
640,1.07006,1.07077,1.07088,1.07006
923,1.0708,1.06973,1.07088,1.06953
743,1.06971,1.06932,1.06999,1.06928
842,1.06929,1.07052,1.07058,1.06911
1461,1.0705,1.06976,1.07127,1.06948
681,1.06974,1.06964,1.0704,1.06926
500,1.06962,1.06999,1.07034,1.06953
711,1.07002,1.06928,1.07046,1.06916
1804,1.06926,1.06996,1.07006,1.06846
3179,1.06994,1.06988,1.07252,1.06975
1917,1.06991,1.07118,1.07127,1.06912
2084,1.07122,1.07012,1.07193,1.06998
3283,1.0701,1.07508,1.07526,1.06993
2859,1.07505,1.07484,1.0765,1.07478
3206,1.07482,1.07552,1.0763,1.07429
4574,1.07553,1.07916,1.0795,1.07488
4187,1.07913,1.08099,1.08108,1.07796
3253,1.08096,1.07933,1.08124,1.07821
1739,1.0793,1.07836,1.07969,1.07723
1057,1.07839,1.07928,1.0796,1.07829
1223,1.07926,1.08043,1.08098,1.079
1106,1.08046,1.07963,1.08046,1.07864
350,1.07961,1.07975,1.08002,1.07924
355,1.0798,1.07961,1.07982,1.07912
522,1.07962,1.08012,1.08048,1.07962
1089,1.08009,1.0796,1.08009,1.07898
816,1.07958,1.07931,1.07964,1.07883
661,1.07933,1.0796,1.07982,1.07894
369,1.07962,1.07927,1.07983,1.07918
411,1.07924,1.07905,1.07938,1.0788
333,1.07908,1.07907,1.07926,1.07874
879,1.0791,1.07796,1.07912,1.07772
1715,1.07798,1.07815,1.07874,1.07748
1429,1.07812,1.07977,1.07986,1.07792
1283,1.07978,1.07846,1.07992,1.07844
1062,1.07848,1.0803,1.08032,1.07816
1166,1.08027,1.08022,1.08027,1.0791
1061,1.08019,1.07884,1.08074,1.07884
3084,1.07886,1.07605,1.07936,1.07602
1872,1.07602,1.07582,1.0763,1.07506
3084,1.07582,1.07581,1.07615,1.07367
1827,1.07584,1.07564,1.07596,1.07478
1000,1.07562,1.07528,1.07602,1.07472
985,1.07525,1.07391,1.0754,1.0738
8846,1.07403,1.07766,1.07894,1.0731
1863,1.07763,1.077,1.078,1.07649
283,1.07698,1.07689,1.07724,1.07631
365,1.07692,1.07674,1.0771,1.07625
526,1.07673,1.0765,1.0771,1.07625
1087,1.07652,1.07826,1.07832,1.07646
937,1.0783,1.0783,1.07884,1.07759
715,1.07832,1.07812,1.07844,1.07764
1003,1.07814,1.07888,1.07934,1.07811
616,1.07892,1.07845,1.0793,1.0783
554,1.07847,1.0793,1.07956,1.07847
595,1.07928,1.0782,1.07955,1.0782
1607,1.07824,1.07926,1.07982,1.0778
2529,1.07924,1.08134,1.08184,1.07882
1682,1.08131,1.08153,1.08169,1.08029
1513,1.08156,1.081,1.08187,1.08052
1547,1.08096,1.0811,1.08192,1.07943
2709,1.0811,1.08042,1.08149,1.07988
3332,1.08046,1.08147,1.0829,1.08024
2958,1.0815,1.08176,1.08238,1.08047
1954,1.08174,1.08058,1.08192,1.0802
1690,1.08061,1.08025,1.08124,1.07944
1387,1.08022,1.07878,1.08033,1.07846
980,1.0788,1.07757,1.07946,1.07754
1065,1.07754,1.07648,1.07775,1.07589
720,1.07646,1.07624,1.07648,1.07562
264,1.07622,1.07584,1.07638,1.07568
632,1.07596,1.07622,1.07676,1.07568
277,1.07618,1.0762,1.0763,1.0757
680,1.07622,1.07611,1.07652,1.07576
1707,1.07613,1.07696,1.07718,1.07552
1012,1.07698,1.07603,1.0771,1.0756
1321,1.07606,1.07552,1.0761,1.07456
782,1.0755,1.07578,1.0761,1.0755
774,1.07582,1.07578,1.07584,1.07497
614,1.07576,1.07592,1.07596,1.07489
1037,1.0759,1.07578,1.0766,1.07532
1774,1.07576,1.07442,1.07628,1.07416
1183,1.07438,1.07419,1.07491,1.07392
874,1.07416,1.07386,1.07462,1.07368
891,1.07388,1.07308,1.07417,1.07277
997,1.07304,1.07348,1.0743,1.0728
7169,1.0735,1.07562,1.07752,1.07125
4272,1.07559,1.07647,1.07824,1.07559
3698,1.07652,1.07883,1.07976,1.07622
1636,1.07885,1.07906,1.07927,1.0777
901,1.07908,1.07837,1.07941,1.07795
1823,1.0784,1.07686,1.07864,1.07645
1366,1.07684,1.07664,1.0769,1.0759
894,1.07662,1.078,1.07811,1.07654
468,1.07798,1.0785,1.07884,1.07779
242,1.07898,1.07848,1.07914,1.0782
355,1.07852,1.07824,1.07879,1.07782
737,1.07826,1.07844,1.07847,1.07744
1120,1.07842,1.07796,1.07887,1.07796
800,1.078,1.07778,1.0785,1.07769
450,1.0778,1.07826,1.0783,1.0778
490,1.07828,1.07757,1.07832,1.07738
351,1.07754,1.07748,1.07784,1.07734
545,1.07746,1.07679,1.07777,1.07679
1402,1.07681,1.07526,1.07682,1.07478
